Cyclists Names,Trip Name,Tagline,No. of riders,Male / Female,Nationalities,Start,Finish,Duration (months),Ongoing,Cost per person (original currency),Cost per person (GBP£),Total distance (km),Total distance miles,"Average monthly distance (km, calculated)",Cost per km (calculated),Cost per month (calculated),Type of bike,Bicycle make/model,Gears,Handlebars,Brakes,Wheel size,Luggage,What footwear/pedals did you use?,Europe,Africa,Australasia,North America,South America,Asia,Parts of Asia,Round-the-world,Website,Route map,Kit list,Titles,Buy (UK),Buy (World)
Frank van Rijn,,Mexico to Canada,1,Male only,Dutch,Feb-88,Nov-88,"0 yrs, 9 m",No,,,21800,13546,"2,180",,,Touring bike,Unknown,External gears,Straight (mountain bike style inc. those with bar ends),Rim,700c,"Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",No,No,No,Yes,No,No,,No,http://www.frankvanrijn.nl,,,,,
"Mr.Mahandra Kumar, Mr.Makhan Singh, Mr. Satish Amberkar",Around the World Cycling Expedition 1989-90,Around the world encircling the Globe.,3,Male only,Indian,Nov-89,Nov-90,"1 yrs, 0 m",No,"£12,000","£7,303","32,000",19884,"2,667",£0.23,£609,City bike,BSA Mach 1,External gears,Sports,Rim,700c,Back rack,"Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,Yes,Yes,No,Yes,"South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",Yes,,,,,,
Steven K. Roberts,Computing Across America,"Established field of technomadics, writing while riding via handlebar keyboard, console computer, satcom, and other tools.",1,Male only,American,Sep-83,Jul-91,"7 yrs, 10 m",No,,,27360,17001,294,,,Recumbent,Winnebiko & BEHEMOTH (custom),External gears,Under seat,Disc,"27"" and 16""",Trailer,Pedals with baskets/cages/straps,No,No,No,Yes,No,No,,No,microship.com,,,Computer Across America,Buy Now (UK),Buy Now (World)
Nancy Sathre and John Vogel,Indian subcontinent 1990/91,"A year exploring Pakistan, India, Nepal, and Bangladesh",2,Male and female,American,Jun-90,Jul-91,"1 yrs, 1 m",No,"$4,000","£2,434",12000,7456,923,£0.20,£187,Mountain bike,Diamondback mountain bike,External gears,Drop bars (racing style),Disc,"26""","Front rack, Back rack",Pedals with baskets/cages/straps,No,No,No,No,No,Yes,"Indian Subcontinent (e.g. India, Pakistan, Bangladesh), China",No,familyonbikes.org,,,What Were We Thinking? Cycling the Back Roads of Asia,Buy Now (UK),Buy Now (World)
Gregory Yeoman and Kate Leeming,Trans-Siberian Cycle Expedition 1993,8304 miles from St Petersburg to Vladivostok,2,Male and female,English and Australian,May-93,Sep-93,"0 yrs, 5 m",No,,,13364,8304,"2,673",,,Mountain bike,Scott Windriver,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Pedals with baskets/cages/straps,No,No,No,No,No,Yes,Russia,No,http://www.red-line.moonfruit.com/,,,Riding into the Sunrise - recollections of a bicycle journey across Russia,Buy Now (UK),Buy Now (World)
Patrick Hugens,World Trip 1992-94,,1,Male only,Dutch,May-92,Oct-94,"2 yrs, 5 m",No,$30/per day,£20/day,26000,16156,897,,,Touring bike,Vittorio,External gears,Drop bars (racing style),Rim,700c,"Front rack, Back rack, Dry bags on top of back panniers",Shoes that attach to the pedals (e.g. SPD),Yes,Yes,Yes,Yes,No,Yes,"Indian Subcontinent (e.g. India, Pakistan, Bangladesh), Indonesia",Yes,www.picasaweb.google.com/racpat.hugens,,,,,
Rachel Lorton (Hugens),Australia-NZ-Africa-Western Europe,,1,Female only,American,Nov-92,Oct-94,"1 yrs, 11 m",No,$30/perday,£20/day,15000,9321,652,,,Touring bike,Davidson,External gears,Drop bars (racing style),Rim,700c,"Front rack, Back rack, Dry bag on top of back panniers",Shoes that attach to the pedals (e.g. SPD),Yes,Yes,Yes,No,No,No,,No,www.picasaweb.google.com/racpat.hugens,,,,,
Marc Freedman,World Cycle 1986-1994,Around the World in 8 Years,1,Male only,American,Jan-86,Nov-94,"8 yrs, 10 m",No,$10 per day,,70000,43496,660,,,Mountain bike,Fat Chance,External gears,Butterfly,Rim,"26""","Front rack, Back rack",Pedals with baskets/cages/straps,Yes,Yes,Yes,Yes,Yes,Yes,"Middle East, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",Yes,,,,,,
Marc Freedman,World Cycle 1986-1994,Around the World in 8 Years,1,Male only,American,Jan-86,Nov-94,"8 yrs, 10 m",No,$10 per day,,70000,43496,660,,,Mountain bike,Fat Chance,External gears,Butterfly,Rim,"26""","Front rack, Back rack",Pedals with baskets/cages/straps,Yes,Yes,Yes,Yes,Yes,Yes,"Middle East, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",Yes,,,,,,
Annette Lewis William Heimann,50/50,Celebration of us both turning 50 years of age.,2,Male and female,American,Jun-94,Aug-95,"1 yrs, 2 m",No,"$5,000","£3,043",12874,8000,920,£0.24,£217,Touring bike,Trek 750,External gears,Drop bars (racing style),Rim,700c,"Front rack, Back rack",Pedals with baskets/cages/straps,No,No,Yes,Yes,No,Yes,South East Asia,Yes,,,,,,
"Bob Rogers, Claire Rogers","Tandem, An American Love Story","Our first taste of bike touring, the start of a continuing love story.",2,Male and female,American,May-95,Jun-96,"1 yrs, 1 m",No,,,22680,14093,"1,745",,,Tandem,Cannondale tandem,External gears,Drop bars (racing style),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),No,No,No,Yes,No,No,,No,www.NewBohemians.net,,,"Tandem, An American Love Story",Buy Now (UK),Buy Now (World)
Louise and Philip Shambrook,World tour 1994-1997,Round the world for fun that just happened to turn out to be a world record by the time we finished,2,Male and female,English,Dec-94,Dec-97,"3 yrs, 0 m",No,"£25,000","£25,000",38143,23701,"1,060",£0.66,£694,Tandem,"Longstaff, custom tandem",External gears,Drop bars (racing style),Rim,700c,"Front rack, Back rack",Pedals with baskets/cages/straps,Yes,No,Yes,Yes,No,Yes,"Middle East, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",Yes,2/225 Te Mata Rd,Map,Kit List,,,
"Anna Marie Bom, Erik van Leeuwen",De reis 97/98,Best time of our lives...taking it easy around the world.,2,Male and female,Dutch,Apr-97,May-98,"1 yrs, 1 m",No,15000,"£12,605",16500,10253,"1,179",£0.76,£900,Touring bike,Vittorio Randonneur,External gears,Drop bars (racing style),Rim,700c,"Front rack, Back rack",Pedals with baskets/cages/straps,Yes,No,Yes,Yes,Yes,Yes,"Central Asia, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), China",Yes,,,,,,
"Martin Moschek, Stefan Löw",Transasia - from Germany to India,Transasia - From Leipzig/Germany to Mumbai/India by bike,2,Male only,German,Jun-98,Nov-98,"0 yrs, 5 m",No,1100,£924,13500,8389,"2,700",£0.07,£185,Touring bike,Stevens 917 travel tuned,External gears,Bullbar,Rim,"26""","Front rack, Back rack",Pedals with baskets/cages/straps,Yes,No,No,No,No,Yes,"Central Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), China",No,biketour-global.de,Map,,,,
Rachel and Patrick Hugens,South America 1999-2000,,2,Male and female,American & Dutch,Oct-99,Jun-00,"0 yrs, 8 m",No,$40 per day,£27/day,6000,3728,750,,,Touring bike,Davidson and Vittorio,External gears,Drop bars (racing style),Rim,700c,"Front rack, Back rack, Dry bags on top of back panniers",Shoes that attach to the pedals (e.g. SPD),No,No,No,No,Yes,No,,No,www.picasaweb.google.com/racpat.hugens,,,,,
Peter Richter,Overland to Australia,"Germany to Australia crossing China, South East Asia.",1,Male only,German,Mar-99,Sep-00,"1 yrs, 6 m",No,,,30000,18641,"1,667",,,Touring bike,Herkelmann,External gears,Butterfly,Rim,700c,"Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,Yes,No,No,Yes,"Middle East, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), China",No,,,,,,
Annette Lewis William Heimann,Retirement Millennium,Retirement Celebration,2,Male and female,American,Aug-99,Apr-01,"1 yrs, 8 m",No,"$12,000","£7,303",20862,12963,"1,043",£0.35,£365,Touring bike,Waterford Adventure Cycle,External gears,Drop bars (racing style),Rim,700c,"Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,Yes,No,Yes,No,Yes,Middle East,No,,,,,,
"Bob Rogers, Claire Rogers",Australia 2000,"Around Australia via Cairns, Mt. Isa, Plenty Highway, Alice Springs, Katherine, Broome, Perth, Esperance, Nullarbor, Adelaide, Melbourne, Canberra, Sydney, Brisbane, Cairns.",2,Male and female,American,May-00,Apr-01,"0 yrs, 11 m",No,,,18800,11682,"1,709",,,Tandem,Cannondale tandem,External gears,Drop bars (racing style),Rim,"26""","Front rack, Back rack, Trailer",Pedals with baskets/cages/straps,No,No,Yes,No,No,No,,No,www.NewBohemians.net,,,,,
Paul Schmidt,,Ten months riding unsupported around the perimeter of Australia followed with three weeks touring in Fiji.,1,Male only,American,May-01,Apr-02,"0 yrs, 11 m",No,"£10,000","£6,086","17,562",10913,"1,597",£0.35,£553,Mountain bike,Bridgestone MB1,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack, Trailer",Sandals,No,No,Yes,No,No,No,,No,,,,,,
"Chris Edie, Jenny Sprent",Ozbybike,"Edinburgh to Hobart through Europe across Asia, including crossing the Himalayas and down the length of Australia.",2,Male and female,UK/Australian,Jul-03,Dec-03,"0 yrs, 5 m",No,"$7,000","£4,260",24000,14913,"4,800",£0.18,£852,Touring bike,Thorn Exp,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,Yes,No,No,Yes,"South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), Turkey, Iran, Nepal Tibet",Yes,,,,,,
Matt Bridgestock,World On Wheels,"A modern, architectural Grand Tour",1,Male only,British,Mar-03,Mar-04,"1 yrs, 0 m",No,"£3,600","£3,600",26535.3,16488,"2,211",£0.14,£300,Touring bike,Orbit,External gears,Drop bars (racing style),Rim,"26""","Front rack, Back rack",Pedals with baskets,Yes,No,No,Yes,Yes,Yes,"Central Asia, China",Yes,worldonwheels.info,,,,,
Dorothee Fleck,Ozzi/Kiwi 2003/2004,Just the start of more fantastic long lasting cycling trips,1,Female only,German,Nov-03,Apr-04,"0 yrs, 5 m",No,Don't know,,14000,8699,"2,333",,,Touring bike,"Velotraum, customized bike",Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),No,No,Yes,No,No,No,,No,dorothee-fleck.com,,,,,
Gregory Yeoman and Kate Leeming,The Alcoa Great Australian Cycle Expedition,An extensive tour covering the whole of Australia.,2,Male and female,English and Australian,May-04,Sep-04,"0 yrs, 4 m",No,,,12640,7854,"3,160",,,Mountain bike,GT,External gears,Straight (mountain bike style inc. those with bar ends),Disc,"26""","Front rack, Back rack",Pedals with baskets/cages/straps,No,No,Yes,No,No,No,,No,www.red-line.moonfruit.com/,,,Out There and Back,Buy Now (UK),Buy Now (World)
Leon Steber,A North American Bicycle Journey,A directionless wandering by bicycle from San Francisco to Mexico via the Arctic Circle,1,Male only,Australian,Apr-04,Mar-05,"0 yrs, 11 m",No,,,16090,9998,"1,463",,,Touring bike,Trek 520,External gears,Drop bars (racing style),Rim,700c,"Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),No,No,No,Yes,No,No,,No,http://leonsteber.com/biketrip,Map,Kit List,,,
James Brooman,North to South,Riding solo from the north coast of alaska to the southern tip of south america,1,Male only,British,Jun-03,Apr-05,"1 yrs, 10 m",No,"$20,000","£12,172",33273,20675,"1,584",£0.37,£580,Mountain bike,Jamis,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),No,No,No,Yes,Yes,No,,No,,,,"North to South: A man, a bear and bicycle",Buy Now (UK),Buy Now (World)
Scott Stoll,Falling Uphill,One man's quest for happiness around the world on a bicycle.,1,Male only,American,Sep-01,Sep-05,"4 yrs, 0 m",No,"$30,050","£18,289",41428,25742,863,£0.44,£381,Mountain bike,Waterford Gunnar,External gears,Bull bars,Rim,"26""","Front rack, Back rack, Backpack, handlebar bag",Shoes that attach to the pedals (e.g. SPD),Yes,Yes,Yes,Yes,Yes,Yes,"Middle East, Central Asia, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), China",Yes,http://theargonauts.com/around-the-world-by-bicycle/index.shtml,Map,Kit List,Falling Uphill,Buy Now (UK),Buy Now (World)
Riaan Manser,Around Africa On My Bicycle,Around Africa on my bicycle.,1,Male only,South African,Sep-03,Nov-05,"2 yrs, 2 m",No,,,36500,22680,"1,352",,,Mountain bike,,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),No,Yes,No,No,No,No,,No,http://www.riaanmanser.com/,,,,,
Alastair Humphreys,Round the World by Bike,"Round the world via the length of the Earth's three main landmasses - 4 years, 46,000 miles, 60 countries",1,Male only,British,Aug-01,Nov-05,"4 yrs, 3 m",No,"£7,000","£7,000",73000,45360,"1,404",£0.10,£135,Mountain bike,Specialized Rockhopper,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack, Bar bag, on top of back rack",Pedals with baskets/cages/straps,Yes,Yes,No,Yes,Yes,Yes,"Middle East, Central Asia, China, Russia, Japan",Yes,alastairhumphreys.com/adventures/roundtheworldbybike/,Map,Kit List,"Moods of Future Joys, Thunder & Sunshine, Ten Lessons from the Road and more...",Buy Now (UK),Buy Now (World)
Lionel Arnould,Paris - Shanghaï (PAGAÏ),I went from Paris to Shahghaï on a recycled bibycle though I had never really cycled before...,1,Male only,French,Mar-05,Mar-06,"1 yrs, 0 m",No,6000,"£6,000",19210,11937,"1,601",£0.31,£500,Mountain bike,Homemade (regycled parts),External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Pedals with baskets/cages/straps,Yes,No,No,No,No,Yes,"Middle East, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), Turkey, Georgia, Armenia, Iran",No,http://pagai.odradek78.fr/,,,,,
Thiago Ghilardi,Planet by Bike 2005,"Solo world bicycle tour of approximately 16,000 miles in 26 countries and 5 continents.",1,Male only,Brazilian,Mar-05,Mar-06,"1 yrs, 0 m",No,"$12,000","£7,303",25345,15749,"2,112",£0.29,£609,Touring bike,Trek 520,External gears,Drop bars (racing style),Rim,700c,"Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,Yes,Yes,Yes,Yes,Yes,"Central Asia, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), China",Yes,www.planetbybike.com,Map,Kit List,,,
Alan & Annie Lukehurst,The Big Bike Ride,Following the summer round the world!,2,Male and female,British,Mar-05,Mar-06,"1 yrs, 0 m",No,"£5,000","£5,000","16,012",9949,"1,334",£0.31,£417,Touring bike,Dawes Super Galaxy,External gears,Butterfly,Rim,700c,"Front rack, Back rack",Pedals with baskets/cages/straps,Yes,No,Yes,No,No,Yes,South East Asia,Yes,,,,,,
Anna Heywood and Luke Skinner,Africe By Bike,"Greenwich, London to Cape Town, South Africa via the Sahara, West Africa and East Africa",2,Male and female,British,Aug-04,Apr-06,"1 yrs, 8 m",No,,,29169,18125,"1,458",,,Touring bike,Thorn eXXp,External gears,Drop bars (racing style),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,Yes,No,No,No,No,,No,africabybike2004.wordpress.com,Map,Kit List,,,
Terry & Isa,Big Trip (Worcester to the Antipodes),An escape from safety and predictability of everyday life in England,2,Male and female,"British, French",Apr-05,Jun-06,"1 yrs, 2 m",No,"£16,768","£16,768",17990,11178,"1,285",£0.93,"£1,198",Expedition,Thorn EXPr & Thorn Raven,Internal (hub) gears,Butterfly,Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,Yes,No,No,Yes,"China, Russia, Mongolia",Yes,http://cyclotouring.co.uk,,,,,
Erik Straarup,Around Australia,Touring Around Australia,1,Male only,Danish,Jul-06,Aug-06,"0 yrs, 1 m",,"£2,800","£2,800",14492,9005,"8,678",£0.19,"£1,677",Road/racing bike,GT edge,External gears,Drop bars (racing style),Rim,700c,Trailer,Shoes that attach to the pedals (e.g. SPD),No,No,Yes,No,No,No,Australia,No,www.lonebiker.dk,Map,,,,
Rob Thomson,14 Degrees Off The Beaten Track,"Cycling across the Eurasian Continent from Japan to Switzerland, via Central Asia.",1,Male only,New Zealand,Jul-06,Mar-07,"0 yrs, 8 m",No,"$7,000","£4,260",12000,7456,"1,500",£0.36,£533,Recumbent,HPVelochnik Street Machine GTe,External gears,Under seat,Disc,"Front: 20inch, rear: 26inch","Back rack, Under seat rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,No,No,No,Yes,"Middle East, Central Asia, China",No,14degrees.org,,,,,
Dave Briggs,England to Cape Town,"Cycling from England to South Africa, I met countless friendly people, and cycled by the odd elephant and giraffe.",1,Male only,British,Jul-06,May-07,"0 yrs, 10 m",No,"£5,000","£5,000",13000,8078,"1,300",£0.38,£500,Touring bike,Dawes Galaxy,External gears,Drop bars (racing style),Rim,700c,"Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,Yes,No,No,No,No,,No,http://www.davestravelpages.com,,,,,
Tom Kevill Davies,The Hungry Cyclist - Americas,"Over 10,000 miles to cover, one man, one bike and one hungry stomach. Having created his alter-ego, the Hungry Cyclist and with thousands of pedal-powered miles before him, Tom Kevill-Davies pushed off from New York City on one of the most ambitious gastronomic adventures ever undertaken.",1,Male only,British,May-05,Sep-07,"2 yrs, 4 m",No,,,24140,15000,832,,,Touring bike,Thorn,Internal (hub) gears,Drop bars (racing style),Rim,"26""",Back rack,"Other footwear, unattached to the pedals (e.g. trainers, boots)",No,No,No,Yes,Yes,No,,No,hungrycyclist.com,,,The Hungry Cyclist,Buy Now (UK),Buy Now (World)
Rachel & Patrick Hugens,Asia Trip 2006-07,,2,Male and female,American & Dutch,Sep-06,Oct-07,"1 yrs, 1 m",No,$50.00/per day,£33/day,12000,7456,923,,,Touring bike,Davidson and Vittoria,External gears,Drop bars (racing style),Rim,700c,"Front rack, Back rack, Dry bags on top of back panniers",Shoes that attach to the pedals (e.g. SPD),No,No,No,Yes,No,Yes,"South East Asia, China, Tibet",No,www.picasaweb.google.com/racpat.hugens,,,,,
Mark Beaumont,The Man Who Cycled The World,Around the world record attempt (successful),1,Male only,Scottish,Aug-07,Feb-08,"0 yrs, 6 m",No,"£25,000","£25,000",29446,18297,"4,908",£0.85,"£4,167",Touring bike,Koga Miyata Signature,Internal (hub) gears,Butterfly,Rim,700c,"Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,Yes,Yes,No,Yes,"Middle East, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",Yes,markbeaumontonline.com,,,The Man Who Cycled The World,Buy Now (UK),Buy Now (World)
Rick Gunn,Soulcycler world tour 2005-2008,"A transformational 3 year, 26,000 mile journey through 33 countries around the globe.",1,Male only,American,Jul-05,Mar-08,"2 yrs, 8 m",No,"$50,000","£30,430",40233,25000,"1,257",£0.76,£951,Touring bike,Several bikes,External gears,Drop bars (racing style),Rim,both,all the above,Shoes that attach to the pedals (e.g. SPD),Yes,No,Yes,Yes,No,Yes,"Central Asia, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), China",Yes,www.soulcycler.com,,,Soulcycler (coming soon),,
Erik Straarup,Around Australia,World record attempt racing around Australia,1,Male only,Danish,Mar-08,May-08,"0 yrs, 2 m",No,"£2,200","£2,200",14611,9079,"7,306",£0.15,"£1,100",Road/racing bike,GT Edge,External gears,Drop bars (racing style),Rim,700c,"Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),No,No,Yes,No,No,No,Australia,No,www.lonebiker.dk,,,,,
Mark Biffen,,Santander (Spain) to Romania and back to Santander via 16 countries and all the mountain ranges inbetween.,1,Male only,British,Apr-08,Sep-08,"0 yrs, 5 m",No,15-20€/day,,"18,150",11278,"3,630",,,Touring bike,Unknown,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,No,No,No,No,,No,,,,,,
Dan Martin,Korea to Cape Town,Korea to Cape Town: the Axis of Evil by Bike,1,Male only,British,Sep-07,Nov-08,"1 yrs, 2 m",No,"£4,000","£4,000",34000,21127,"2,429",£0.12,£286,Touring bike,Thorn Raven Tour,Internal (hub) gears,Bull bars,Rim,700c,"Back rack, Trailer","Other footwear, unattached to the pedals (e.g. trainers, boots)",No,Yes,No,No,No,Yes,"Middle East, Central Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), China",Yes,,,,,,
Joff Summerfield,Penny Farthing World Tour,Around the world on a Penny Farthing.,1,Male only,British,May-06,Nov-08,"2 yrs, 6 m",No,"£10,000","£10,000",35447,22026,"1,143",£0.28,£323,Penny Farthing,Penny Farthing,Fixed,Moustache,Rim,"49"" diameter",Mounted on the spine,Sandles,Yes,No,Yes,Yes,No,Yes,"Central Asia, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), China, Tibet",Yes,www.Pennyfarthingworldtour.com,,,,,
Glen Saberton,A Very Long Bicycle Rider,Incredible!,1,Male only,British,May-06,Mar-09,"2 yrs, 10 m",No,"£25,000","£25,000",32187,20000,947,£0.78,£735,Touring bike,Condor,External gears,Drop bars (racing style),Rim,700c,"Front rack, Back rack",Pedals with baskets/cages/straps,Yes,Yes,Yes,No,Yes,Yes,"Central Asia, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), China",Yes,,,,,,
"SImon Taylor, Isabelle Bedard",Decadence,A year getting from Mongolia to Nepal with only a short Chinese visa and on to Turkey via Central Asia,2,Male and female,"British, Canadian",Jul-08,Jul-09,"1 yrs, 0 m",No,"£3,000","£3,000",11900,7394,992,£0.25,£250,Touring bike,Koha Miyata World Traveller,External gears,Butterfly,Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),No,No,No,No,No,Yes,"Central Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), China, Russia, Mongolia, Iran",No,hk-to-uk.blogspot.com,Map,Kit List,,,
Andrew Welch,,"An intense, slow and winding personal quest through Eurasia, falling in love with Georgia along the way :)",1,Male only,British,Jun-07,Aug-09,"2 yrs, 2 m",No,"£7,000","£7,000",17000,10563,680,£0.41,£280,Mountain bike,Kona Explosif,External gears,Straight (mountain bike style inc. those with bar ends),Disc,"26""",Trailer,Shoes that attach to the pedals (e.g. SPD),Yes,No,No,No,No,Yes,"Middle East, Central Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), Russia",No,weaveoftheride.com,,,Weave of the Ride,,
